City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,anadyr,64.75,177.4833,271.43,74,40,3.0,RU,1681943835
1,camacupa,-12.0167,17.4833,288.84,77,43,1.15,AO,1681944226
2,gataia,45.4311,21.43,281.94,90,35,0.98,RO,1681944227
3,saldanha,-33.0117,17.9442,287.18,84,100,6.92,ZA,1681943835
4,talnakh,69.4865,88.3972,256.34,96,95,3.24,RU,1681943767
5,obihiro,42.9172,143.2044,283.4,62,95,1.14,JP,1681944227
6,port-aux-francais,-49.35,70.2167,277.94,66,27,15.82,TF,1681943761
7,kerikeri,-35.2268,173.9474,294.77,96,96,0.89,NZ,1681943924
8,malyn,50.7723,29.2383,280.72,82,100,3.87,UA,1681944228
9,margaret river,-33.95,115.0667,285.77,62,0,3.73,AU,1681943766
10,palikir - national government center,6.9248,158.1611,298.62,100,100,5.14,FM,1681944228
11,hawaiian paradise park,19.5933,-154.9731,297.54,95,100,4.63,US,1681943654
12,dzhalagash,45.0833,64.6667,281.06,28,33,4.4,KZ,1681943929
13,dudinka,69.4058,86.1778,250.24,100,97,2.6,RU,1681943851
14,ubari,26.5921,12.7805,295.33,19,0,4.65,LY,1681944229
15,papatowai,-46.5619,169.4708,287.31,75,61,1.01,NZ,1681943789
16,namibe,-15.1961,12.1522,298.38,73,42,1.54,AO,1681943867
17,bol,13.4586,14.7147,302.27,43,0,3.05,TD,1681944229
18,guarapari,-20.6667,-40.4975,300.31,93,85,3.86,BR,1681944229
19,tuy hoa,13.0833,109.3,298.36,76,21,2.26,VN,1681944230
20,constantia,44.1833,28.65,283.54,93,100,5.27,RO,1681943704
21,summerside,46.3959,-63.7876,281.22,81,100,2.57,CA,1681944230
22,waitangi,-43.9535,-176.5597,290.83,89,95,4.92,NZ,1681943768
23,thompson,55.7435,-97.8558,275.24,41,75,5.66,CA,1681943800
24,bilibino,68.0546,166.4372,271.18,82,100,1.37,RU,1681943771
25,college,64.8569,-147.8028,275.82,50,40,2.06,US,1681943764
26,mahibadhoo,3.7833,72.9667,301.37,69,100,0.36,MV,1681944231
27,gwanda,-20.9333,29.0,287.98,65,2,2.48,ZW,1681944231
28,kitui,-1.367,38.0106,290.58,97,70,1.77,KE,1681944231
